acpi 1.7-3
acpid 2.0.32-1
adwaita-icon-theme 3.36.1-1
adwaita-maia 20191107-2
alacritty 0.4.2-2
alsa-firmware 1.2.1-2
alsa-utils 1.2.2-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
baobab 3.34.0-1
bash 5.0.016-1
bat 0.15.0-1
btrfs-progs 5.6-1
bzip2 1.0.8-3
code 1.44.2-1
coreutils 8.32-1
cpupower 5.6-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.2-1
dconf-editor 3.36.20
device-mapper 2.02.187-2
dhall 1.32.0-1
dhall-json 1.6.4-1
dhclient 4.4.2-2
dhcpcd 9.0.2-1
diffutils 3.7-3
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-4
docker 1:19.03.8-2
docker-compose 1.25.5-1
dosfstools 4.1-3
e2fsprogs 1.45.6-2
ecryptfs-utils 111-3
efibootmgr 17-1
epiphany 3.36.1-2
evince 3.36.0-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
file 5.38-3
file-roller 3.36.2-1
filesystem 2019.10-4
findutils 4.7.0-2
firefox 76.0.1-1
fprintd 1.90.1-1
gawk 5.1.0-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gdm 3.36.2-1
gedit 3.36.2-1
gettext 0.20.2-1
glibc 2.31-2
gnome-backgrounds 3.36.0-1
gnome-calculator 3.36.0-1
gnome-control-center 3.36.2-1.1
gnome-desktop 1:3.36.2-1
gnome-disk-utility 3.36.1-2
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-keyring 1:3.36.0-1
gnome-screenshot 3.36.0-1
gnome-session 3.36.0-1
gnome-settings-daemon 3.36.1-1
gnome-shell 1:3.36.2+7+ge4199c71c-1
gnome-shell-extension-nightshellswitcher 20.r1.ge08d19a-2
gnome-shell-extension-nightthemeswitcher 25.r0.gcd423c2-2
gnome-shell-extensions 3.36.2-1
gnome-system-log 3.9.90+160+g4b07190-1
gnome-system-monitor 3.36.0-1
gnome-terminal 3.36.2-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.34.0-2.1
gnome-user-docs 3.36.2-1
gnome-user-share 3.34.0-1
gnome-wallpapers 20180516-1
gparted 1.1.0-1
